Char	Lexicality	Key	PY	Pho	IPA	Tone	Initial	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqDowls	FreqDL	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen
胧	added	loN	long	l oN	loŋ	NA	l	CVN	1	4	3	2	added	0	0		0	0	泷, 滝, 窿, 竜, 笼, 聋, 隆, 龙, 拢	9	29	28	1	0	l @, l aI, l i, Z oN, i oN, c oN, l a, t oN, l iN, l aU, s oN, n oN, T oN, l u, z oN, l eI, C oN, l an, k oN, l oU, K oN, x oN, l un, l aN, l @N, l y, l in, r oN, @r l oN	56136.1785714	0.45	0	0	0	0
徿	added	loN	long	l oN	loŋ	NA	l	CVN	1	4	3	2	added	0	0		0	0	泷, 滝, 窿, 竜, 笼, 聋, 隆, 龙, 拢	9	29	28	1	0	l @, l aI, l i, Z oN, i oN, c oN, l a, t oN, l iN, l aU, s oN, n oN, T oN, l u, z oN, l eI, C oN, l an, k oN, l oU, K oN, x oN, l un, l aN, l @N, l y, l in, r oN, @r l oN	56136.1785714	0.45	0	0	0	0
朧	added	loN	long	l oN	loŋ	NA	l	CVN	1	4	3	2	added	0	0		0	0	泷, 滝, 窿, 竜, 笼, 聋, 隆, 龙, 拢	9	29	28	1	0	l @, l aI, l i, Z oN, i oN, c oN, l a, t oN, l iN, l aU, s oN, n oN, T oN, l u, z oN, l eI, C oN, l an, k oN, l oU, K oN, x oN, l un, l aN, l @N, l y, l in, r oN, @r l oN	56136.1785714	0.45	0	0	0	0
茏	added	loN	long	l oN	loŋ	NA	l	CVN	1	4	3	2	added	0	0		0	0	泷, 滝, 窿, 竜, 笼, 聋, 隆, 龙, 拢	9	29	28	1	0	l @, l aI, l i, Z oN, i oN, c oN, l a, t oN, l iN, l aU, s oN, n oN, T oN, l u, z oN, l eI, C oN, l an, k oN, l oU, K oN, x oN, l un, l aN, l @N, l y, l in, r oN, @r l oN	56136.1785714	0.45	0	0	0	0
嚨	added	loN	long	l oN	loŋ	NA	l	CVN	1	4	3	2	added	0	0		0	0	泷, 滝, 窿, 竜, 笼, 聋, 隆, 龙, 拢	9	29	28	1	0	l @, l aI, l i, Z oN, i oN, c oN, l a, t oN, l iN, l aU, s oN, n oN, T oN, l u, z oN, l eI, C oN, l an, k oN, l oU, K oN, x oN, l un, l aN, l @N, l y, l in, r oN, @r l oN	56136.1785714	0.45	0	0	0	0
㳥	added	loN	long	l oN	loŋ	NA	l	CVN	1	4	3	2	added	0	0		0	0	泷, 滝, 窿, 竜, 笼, 聋, 隆, 龙, 拢	9	29	28	1	0	l @, l aI, l i, Z oN, i oN, c oN, l a, t oN, l iN, l aU, s oN, n oN, T oN, l u, z oN, l eI, C oN, l an, k oN, l oU, K oN, x oN, l un, l aN, l @N, l y, l in, r oN, @r l oN	56136.1785714	0.45	0	0	0	0
梇	added	loN	long	l oN	loŋ	NA	l	CVN	1	4	3	2	added	0	0		0	0	泷, 滝, 窿, 竜, 笼, 聋, 隆, 龙, 拢	9	29	28	1	0	l @, l aI, l i, Z oN, i oN, c oN, l a, t oN, l iN, l aU, s oN, n oN, T oN, l u, z oN, l eI, C oN, l an, k oN, l oU, K oN, x oN, l un, l aN, l @N, l y, l in, r oN, @r l oN	56136.1785714	0.45	0	0	0	0
儱	added	loN	long	l oN	loŋ	NA	l	CVN	1	4	3	2	added	0	0		0	0	泷, 滝, 窿, 竜, 笼, 聋, 隆, 龙, 拢	9	29	28	1	0	l @, l aI, l i, Z oN, i oN, c oN, l a, t oN, l iN, l aU, s oN, n oN, T oN, l u, z oN, l eI, C oN, l an, k oN, l oU, K oN, x oN, l un, l aN, l @N, l y, l in, r oN, @r l oN	56136.1785714	0.45	0	0	0	0
弄	added	loN	long	l oN	loŋ	NA	l	CVN	1	4	3	2	added	0	0		0	0	泷, 滝, 窿, 竜, 笼, 聋, 隆, 龙, 拢	9	29	28	1	0	l @, l aI, l i, Z oN, i oN, c oN, l a, t oN, l iN, l aU, s oN, n oN, T oN, l u, z oN, l eI, C oN, l an, k oN, l oU, K oN, x oN, l un, l aN, l @N, l y, l in, r oN, @r l oN	56136.1785714	0.45	0	0	0	0
㢅	added	loN	long	l oN	loŋ	NA	l	CVN	1	4	3	2	added	0	0		0	0	泷, 滝, 窿, 竜, 笼, 聋, 隆, 龙, 拢	9	29	28	1	0	l @, l aI, l i, Z oN, i oN, c oN, l a, t oN, l iN, l aU, s oN, n oN, T oN, l u, z oN, l eI, C oN, l an, k oN, l oU, K oN, x oN, l un, l aN, l @N, l y, l in, r oN, @r l oN	56136.1785714	0.45	0	0	0	0
