Char	Lexicality	Key	PY	Pho	IPA	Tone	Onset	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqPM	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen
NA	systemicgap	SyN0	NA	S y N 0	ʂyŋ0	0	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	SyN1	NA	S y N 1	ʂyŋ1	1	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	2	2	0	0	S @ N 1, S a N 1	8337	0	NA	NA	NA	NA
NA	systemicgap	SyN2	NA	S y N 2	ʂyŋ2	2	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	1	1	0	0	S @ N 2	362	0	NA	NA	NA	NA
NA	systemicgap	SyN3	NA	S y N 3	ʂyŋ3	3	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	2	2	0	0	S @ N 3, S a N 3	770	0	NA	NA	NA	NA
NA	systemicgap	SyN4	NA	S y N 4	ʂyŋ4	4	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	2	2	0	0	S a N 4, S @ N 4	60024	0	NA	NA	NA	NA
NA	systemicgap	Syn0	NA	S y n 0	ʂyn0	0	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	Syn1	NA	S y n 1	ʂyn1	1	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	6	5	0	1	S @ n 1, S a n 1, J y n 1, X y n 1, Q y n 1, y n 1	3625	0.47	NA	NA	NA	NA
NA	systemicgap	Syn2	NA	S y n 2	ʂyn2	2	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	4	3	0	1	S @ n 2, Q y n 2, X y n 2, y n 2	3027	0.5	NA	NA	NA	NA
NA	systemicgap	Syn3	NA	S y n 3	ʂyn3	3	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	4	3	0	1	S a n 3, S @ n 3, S u n 3, y n 3	462	0.5	NA	NA	NA	NA
NA	systemicgap	Syn4	NA	S y n 4	ʂyn4	4	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	6	5	0	1	S a n 4, J y n 4, X y n 4, S u n 4, S @ n 4, y n 4	3110	0.4	NA	NA	NA	NA
NA	systemicgap	TE0	NA	T E 0	tʻɛ0	0	T	CV	1	NA	2	3	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	TE1	NA	T E 1	tʻɛ1	1	T	CV	1	NA	2	3	NA	0	0	NA	0	NA	NA	9	8	1	0	T a 1, T oU 1, y E 1, T i 1, T aU 1, T aI 1, i E 1, T u 1, T i E 1	86275.5	0.5	NA	NA	NA	NA
NA	systemicgap	TE2	NA	T E 2	tʻɛ2	2	T	CV	1	NA	2	3	NA	0	0	NA	0	NA	NA	6	6	0	0	T oU 2, T i 2, T aI 2, i E 2, T aU 2, T u 2	5833	0.67	NA	NA	NA	NA
NA	systemicgap	TE3	NA	T E 3	tʻɛ3	3	T	CV	1	NA	2	3	NA	0	0	NA	0	NA	NA	6	5	1	0	i E 3, T u 3, T a 3, T i 3, T aU 3, T i E 3	28649	0.53	NA	NA	NA	NA
NA	systemicgap	TE4	NA	T E 4	tʻɛ4	4	T	CV	1	NA	2	3	NA	0	0	NA	0	NA	NA	9	9	0	0	T aI 4, y E 4, i E 4, T @ 4, T i 4, T aU 4, T oU 4, T a 4, T u 4	11719.8888889	0.61	NA	NA	NA	NA
NA	systemicgap	TEn0	NA	T E n 0	tʻɛn0	0	T	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	TEn1	NA	T E n 1	tʻɛn1	1	T	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	5	4	1	0	i E n 1, T u n 1, T a n 1, y E n 1, T i E n 1	51716.5	0.3	NA	NA	NA	NA
NA	systemicgap	TEn2	NA	T E n 2	tʻɛn2	2	T	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	5	4	1	0	y E n 2, T a n 2, i E n 2, T u n 2, T i E n 2	12520.75	0.3	NA	NA	NA	NA
NA	systemicgap	TEn3	NA	T E n 3	tʻɛn3	3	T	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	4	3	1	0	y E n 3, i E n 3, T a n 3, T i E n 3	5099.33333333	0.33	NA	NA	NA	NA
NA	systemicgap	TEn4	NA	T E n 4	tʻɛn4	4	T	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	4	4	0	0	T a n 4, y E n 4, i E n 4, T u n 4	2804	0.33	NA	NA	NA	NA
NA	systemicgap	Tar0	NA	T a r 0	tʻaɹ0	0	T	CVR	1	NA	3	4	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	Tar1	NA	T a r 1	tʻaɹ1	1	T	CVR	1	NA	3	4	NA	0	0	NA	0	NA	NA	5	4	0	1	T a N 1, T a n 1, k a r 1, t a r 1, T a 1	668841.5	0.4	NA	NA	NA	NA
NA	systemicgap	Tar2	NA	T a r 2	tʻaɹ2	2	T	CVR	1	NA	3	4	NA	0	0	NA	0	NA	NA	4	4	0	0	T a n 2, T a N 2, T o r 2, u a r 2	4213	0.17	NA	NA	NA	NA
NA	systemicgap	Tar3	NA	T a r 3	tʻaɹ3	3	T	CVR	1	NA	3	4	NA	0	0	NA	0	NA	NA	4	3	0	1	n a r 3, T a N 3, T a n 3, T a 3	10638	0.5	NA	NA	NA	NA
NA	systemicgap	Tar4	NA	T a r 4	tʻaɹ4	4	T	CVR	1	NA	3	4	NA	0	0	NA	0	NA	NA	4	3	0	1	T a n 4, T a N 4, p a r 4, T a 4	3620.66666667	0.5	NA	NA	NA	NA
NA	systemicgap	TeI0	NA	T eI 0	tʻeɪ0	0	T	CVV	1	NA	3	3	NA	0	0	NA	0	NA	NA	1	1	0	0	l eI 0	55	0	NA	NA	NA	NA
NA	systemicgap	TeI1	NA	T eI 1	tʻeɪ1	0	T	CVV	1	NA	3	3	NA	0	0	NA	0	NA	NA	12	11	1	0	T a 1, x eI 1, p eI 1, f eI 1, T oU 1, T i 1, u eI 1, T aU 1, T aI 1, P eI 1, T u 1, T u eI 1	69499.3636364	0.41	NA	NA	NA	NA
NA	systemicgap	TeI2	NA	T eI 2	tʻeɪ2	2	T	CVV	1	NA	3	3	NA	0	0	NA	0	NA	NA	13	12	1	0	m eI 2, S eI 2, u eI 2, T oU 2, T i 2, T aI 2, P eI 2, T aU 2, l eI 2, T u 2, f eI 2, z eI 2, T u eI 2	25211.5833333	0.42	NA	NA	NA	NA
NA	systemicgap	TeI3	NA	T eI 3	tʻeɪ3	3	T	CVV	1	NA	3	3	NA	0	0	NA	0	NA	NA	13	12	1	0	k eI 3, t eI 3, m eI 3, l eI 3, T u 3, T a 3, T i 3, p eI 3, u eI 3, T aU 3, f eI 3, n eI 3, T u eI 3	24709.3333333	0.46	NA	NA	NA	NA
NA	systemicgap	TeI4	NA	T eI 4	tʻeɪ4	4	T	CVV	1	NA	3	3	NA	0	0	NA	0	NA	NA	16	14	1	1	p eI 4, T aI 4, u eI 4, n eI 4, T @ 4, T i 4, T aU 4, T oU 4, f eI 4, P eI 4, l eI 4, m eI 4, T a 4, T u 4, T u eI 4, eI 4	15974.9285714	0.42	NA	NA	NA	NA
NA	systemicgap	Ti@0	NA	T i @ 0	tʻiə0	0	T	CGV	1	NA	3	4	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	Ti@1	NA	T i @ 1	tʻiə1	1	T	CGV	1	NA	3	4	NA	0	0	NA	0	NA	NA	4	3	0	1	T i N 1, T i aU 1, T i E 1, T i 1	21925.6666667	1	NA	NA	NA	NA
NA	systemicgap	Ti@2	NA	T i @ 2	tʻiə2	2	T	CGV	1	NA	3	4	NA	0	0	NA	0	NA	NA	3	2	0	1	T i aU 2, T i N 2, T i 2	17860	1	NA	NA	NA	NA
NA	systemicgap	Ti@3	NA	T i @ 3	tʻiə3	3	T	CGV	1	NA	3	4	NA	0	0	NA	0	NA	NA	3	2	0	1	T i N 3, T i E 3, T i 3	5521	1	NA	NA	NA	NA
NA	systemicgap	Ti@4	NA	T i @ 4	tʻiə4	4	T	CGV	1	NA	3	4	NA	0	0	NA	0	NA	NA	3	1	0	2	T i aU 4, T @ 4, T i 4	13081	0.67	NA	NA	NA	NA
NA	systemicgap	Ti@N0	NA	T i @ N 0	tʻiəŋ0	0	T	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	Ti@N1	NA	T i @ N 1	tʻiəŋ1	1	T	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	1	0	0	1	T i N 1	55483	0	NA	NA	NA	NA
NA	systemicgap	Ti@N2	NA	T i @ N 2	tʻiəŋ2	2	T	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	2	0	0	2	T i N 2, T @ N 2	6297	0	NA	NA	NA	NA
NA	systemicgap	Ti@N3	NA	T i @ N 3	tʻiəŋ3	3	T	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	1	0	0	1	T i N 3	7751	0	NA	NA	NA	NA
NA	systemicgap	Ti@N4	NA	T i @ N 4	tʻiəŋ4	4	T	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	Ti@n0	NA	T i @ n 0	tʻiən0	0	T	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
