Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
z @									0.000	0	0	0.0		0		0	0.000		31	24	6	1	t @, z aI, Z @, k @, z uo, n @, z oU, K @, z ueI, C @, x @, z aU, z 1, z u, S @, r @, T @, z a, l @, s @, c @, z eI, aI @, y @, z @ N, z @ n, z ueI @, z uo @, i z @, z @ ioU, @	162109.083333
z @ n									0.000	0	0	0.0		0		0	0.000		22	19	1	2	x @ n, r @ n, Z @ n, k @ n, m @ n, f @ n, S @ n, p @ n, z @ N, K @ n, C @ n, z a n, P @ n, s @ n, z ua n, z u n, n @ n, z @ ioU, c @ n, z @ u@ n, @ n, z @	56696.9736842
z @ N									0.000	0	0	0.0		0		0	0.000		25	21	3	1	n @ N, t @ N, Z @ N, C @ N, S @ N, f @ N, z o N, r @ N, m @ N, P @ N, T @ N, l @ N, c @ N, z a N, x @ N, z @ n, p @ N, K @ N, k @ N, s @ N, z @ ioU, z @ N u, z @ N y, z @ N ia, z @	17419.8571429
Z @ n									0.000	0	0	0.0		0		0	0.000		35	21	12	2	x @ n, r @ n, k @ n, m @ n, Z @ N, Z @ @r, f @ n, Z a n, S @ n, p @ n, Z ua n, K @ n, Z u n, C @ n, z @ n, P @ n, s @ n, n @ n, Z @ iE, Z @ iaU, c @ n, Z @ n @, i Z @ n, Z @ n ia, Z @ n aI, Z @ iE n, Z @ n ueI, Z @ n i, y Z @ n, u Z @ n, Z @ n y, Z @ n @r, ioU Z @ n, Z @, @ n	200534.619048
Z @ N									0.000	0	0	0.0		0		0	0.000		35	24	10	1	n @ N, Z @ n, Z o N, t @ N, Z a N, Z @ @r, C @ N, S @ N, f @ N, Z ua N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, K @ N, k @ N, s @ N, Z @ iE, Z @ iaU, Z @ ia N, Z @ N i, Z @ N u, Z @ N iE, Z @ N iaU, u Z @ N, ueI Z @ N, ioU Z @ N, Z @ N ueI, Z @ N yE, Z @	327574.325
z @ r									0.000	0	0	0.0		0		0	0.000		4	3	0	1	z @ N, z @ n, z @ ioU, z @	4188.0
Z @ r									0.000	0	0	0.0		0		0	0.000		6	5	0	1	Z @ n, Z @ N, Z @ @r, Z @ iE, Z @ iaU, Z @	331608.2
z 1									0.000	0	0	0.0		0		0	0.000		37	15	22	0	S 1, z aI, z uo, Z 1, z oU, s 1, z ueI, c 1, C 1, z aU, z u, r 1, z a, z @, z eI, @r z 1, z 1 ioU, z 1 uo, u z 1, i z 1, z 1 ueI, ueI z 1, ua z 1, ia z 1, iE z 1, aI z 1, z 1 y, ioU z 1, z 1 aU, z 1 aI, z 1 @r, z 1 i, z 1 iE, iaU z 1, z 1 uaI, y z 1, @ z 1	145812.333333
z a									0.000	0	0	0.0		0		0	0.000		31	26	4	1	T a, z aI, p a, m a, n a, z uo, t a, z oU, z ueI, S a, l a, z aU, C a, z 1, f a, P a, z u, x a, K a, Z a, s a, z @, c a, z eI, a a, k a, z a N, z a n, z a u, z a i, a	232448.923077
Z a									0.000	0	0	0.0		0		0	0.000		34	27	6	1	T a, p a, Z @, m a, n a, Z 1, Z uo, t a, Z aU, S a, Z u, l a, C a, f a, Z oU, Z ua, P a, x a, z a, K a, Z ueI, s a, c a, Z aI, Z uaI, a a, k a, Z a N, Z a n, Z a iaU, Z a y, ia Z a, @ Z a, a	228539.222222
